업소명,업종,지역,연락처,주소,영업시간,품목,데이터기준일자
본가,음식점,제주시,064-724-8588,제주특별자치도 제주시 도남로 101,08:00~23:00 / 셋째 일요일,순두부해장국 6000원 선지해장국 7000원,2021-06-15
또다시영림,음식점,제주시,064-758-8649,제주특별자치도 제주시 동광로6길 14,11:30~20:00 / 매주 토.일요일.공휴일,된장찌개 6000원 김치찌개 7000원,2021-06-15
추억의집,음식점,제주시,064-743-9779,제주특별자치도 제주시 연삼로 414-1,11:00~21:00 / 매주 일요일,순대국밥 6000원 김치찌개 7000원,2021-06-15
미루네,음식점,제주시,064-756-3048,제주특별자치도 제주시 오복4길 5,17:00~24:00 / 매주 일요일,돼지갈비(320g) 12000원 냉면 6000원,2021-06-15
부지깽이,음식점,제주시,064-723-3522,제주특별자치도 제주시 광양13길 11-2,09:30~23:00 / 매주 일요일,고등어밥 6000원 보말국 8000원 고등어국 8000원 고등어조림(소) 20000원 고등어조림(중) 25000원 고등어조림(대) 30000원,2021-06-15
광양왕소금깡통구이,음식점,제주시,064-755-9966,제주특별자치도 제주시 광양13길 13,10:00~23:00 / 매주 화요일,돌솥비빔밥 5000원 된장찌개 5000원 비빔밥 5000원,2021-06-15
효동각,음식점,제주시,064-751-1507,제주특별자치도 제주시 동광로6길 31,11:00~20:00 / 매주 화요일,짜장면 4000원 짬뽕면 5000원 볶음밤 5000원,2021-06-15
도남해돈가,음식점,제주시,064-753-8851,제주특별자치도 제주시 신성로 61-1,18:00~22:00 / 둘째.넷째 화요일,제주산오겹살(200g) 12000원 냉면 5000원,2021-06-15
영춘식당,음식점,제주시,064-900-2770,제주특별자치도 제주시 도남로7길 37-1,10:00~20:00 / 매주 일요일,두루치기(2인분) 12000원 김치찌개 6000원 갈비탕 7000원 된장찌개 6000원,2021-06-15
명가돈까스,음식점,제주시,064-711-0204,제주특별자치도 제주시 태성로2길 30-1,11:00~21:00브레이크타임 15:00~17:00 / 제주민속오일장날(매월 2·7·12·17·22·27일),등심돈까스 6000원 치즈돈까스 7000원 안심돈까스 6000원 치킨까스 7000원,2021-06-15
해아름,음식점,제주시,064-758-1833,제주특별자치도 제주시 가령로 7,10:00~21:00 / 매주 일요일,뼈해장국 7000원 접짝뼈국 8000원,2021-06-15
마중물삼계탕,음식점,제주시,064-702-8250,제주특별자치도 제주시 서사로 62-2,10:00~22:00 / 6·7·8월 연중무휴그외 일요일 16시부터 영업,삼계탕 10000원 닭곰탕 7000원,2021-06-15
24시국수회관,음식점,제주시,064-702-1162,제주특별자치도 제주시 남성로 122-1,24시간 영업 / 연중무휴,고기국수 6000원 순대국밥 6000원,2021-06-15
탐라가든,음식점,제주시,064-757-5187,제주특별자치도 제주시 서사로 51,12:00~22:00 / 매주 월요일,돼지 생갈비(200g) 10000원 돼지 양념갈비(230g) 8000원 냉면 6000원 흑돼지(180g) 17000원,2021-06-15
이서림,음식점,제주시,064-724-0058,제주특별자치도 제주시 중앙로24길 4,11:30~23:00브레이크타임 14:00~17:00 / 첫째. 셋째 일요일,김치찌개(공기밥 별도) 5000원 열무국수 4000원,2021-06-15
해녀할망국수,음식점,제주시,064-726-1381,제주특별자치도 제주시 탑동로 31-1,08:00~24:00 / 연중무휴,고기국수 6000원 멸치국수 5000원 비빔국수 5000원 냉면 6000원 콩국수 6000원 찐만두 5000원,2021-06-15
국수정복,음식점,제주시,064-758-7807,제주특별자치도 제주시 탑동로13길 27,11:00~22:00 / 매주 일요일,멸치국수 4000원 고기국수 6000원 제주산고사리육개장 7000원 비빔국수 6000원,2021-06-15
양반촌,음식점,제주시,064-721-7185,제주특별자치도 제주시 서광로5길 29,10:00~22:00 / 매주 일요일,돼지주물럭 7000원 된장찌개 6000원 냉면 6000원 국수 4000원,2021-06-15
해림식당,음식점,제주시,064-757-7698,제주특별자치도 제주시 남성로 20-1,06:00~17:00 / 매주 일요일,김치찌개 7000원 된장찌개 7000원 만두백반 6000원 순두부 7000원 참치찌개 7000원,2021-06-15
한라산도야지 남사골,음식점,제주시,064-751-0202,제주특별자치도 제주시 서광로 3길 48,17:00~22:00 / 매주 월요일,오겹살(200g) 11000원 목살(200g) 11000원 돼지고기 샤브샤브(200g) 11000원,2021-06-15
넉둥베기,음식점,제주시,064-743-2585,제주특별자치도 제주시 서문로 9-1,10:00~22:00 / 둘째.넷째 일요일,김치찌개 5000원 돼지국밥 6000원,2021-06-15
용담생국수,음식점,제주시,064-743-2503,제주특별자치도 제주시 용담로 95,07:00~22:00 / 매주 일요일,고기국수 6000원 몸국 6000원,2021-06-15
남도별미식당,음식점,제주시,064-742-0765,제주특별자치도 제주시 흥운길 31,10:00~22:00 / 연중무휴,순두부 5000원 청국장 6000원 백반 6000원 두루치기 6000원,2021-06-15
만나아구찜,음식점,제주시,064-745-0230,제주특별자치도 제주시 흥운길 31,10:00~22:00 / 둘째.넷째 일요일,동태찌개 6000원 김치찌개 6000원 순두부 6000원 된장찌개 6000원 콩국수 7000원 오겹살(제주산 200g) 12000원,2021-06-15
인풍감자탕,음식점,제주시,064-758-8414,제주특별자치도 제주시 만덕로 36,11:00~22:00브레이크타임 14:00~16:30일요일 16:00~22:00 / 연중무휴,뼈우거지탕 7000원 콩나물해장국 6000원 몸국 7000원 육개장 7000원 대패삼겹살 7000원,2021-06-15
해동이네,음식점,제주시,064-725-2007,제주특별자치도 제주시 임항로 242. 1층,05:00~15:00 / 매주 월요일,해장국 7000원 내장탕 8000원 육개장 8000원,2021-06-15
내가 찾은 맛고을,음식점,제주시,064-702-0216,제주특별자치도 제주시 진남로8길 39,11:00~21:30 / 매주 일요일,삼계탕 8000원 녹두삼계탕 10000원 소머리국밥 7000원,2021-06-15
일오삼가든,음식점,제주시,064-723-0153,제주특별자치도 제주시 진남로8길 13,16:30~22:30 / 설.추석연휴,돼지목살(제주산) 12000원 김치찌개 6000원 된장찌개 6000원,2021-06-15
신춘반점,음식점,제주시,064-722-6992,제주특별자치도 제주시 진동로5길 30,10:30~20:00 / 매주 월요일,짜장면 4000원 간짜장 5000원 볶음밥 5000원,2021-06-15
서림칡냉면,음식점,제주시,064-756-2009,제주특별자치도 제주시 진남로8길 13,11:00~16:00 / 매주 일요일,동태찌개 6000원 냉면 6000원,2021-06-15
행복맛집,음식점,제주시,064-758-6788,제주특별자치도 제주시 진남로6길 32,10:00~23:00 / 매주 일요일,순두부(수제) 7000원 제주산고사리육개장 7000원 동태탕 7000원 알내장탕 7000원,2021-06-15
복자네,음식점,제주시,064-752-0611,제주특별자치도 제주시 진동로3길 34,11:00~22:00 / 첫째. 셋째. 다섯째 화요일,냉모밀면 6000원 멸치국수 6000원 돼지고기숙주볶음(공기밥포함) 9000원,2021-06-15
후년하우스,음식점,제주시,064-759-9292,제주특별자치도 제주시 삼봉로 12,10:00~22:00브레이크타임 14:00~17:00 / 매주 일요일. 공휴일. 설추석연휴,돼지고기샤브샤브 11000원 말고기샤브샤브 13000원,2021-06-15
현기네식당,음식점,제주시,064-722-0722,제주특별자치도 제주시 번영로 487,05:30~14:30 / 매주 일요일,순두부 6000원 된장찌개 7000원,2021-06-15
또옵써 식당,음식점,제주시,064-723-0720,제주특별자치도 제주시 번영로 459,10:00~22:00브레이크타임 14:30~17:00 / 연중무휴,된장찌개 5000원 김치찌개 7000원,2021-06-15
공주네국수,음식점,제주시,064-722-4533,제주특별자치도 제주시 삼봉로 353,08:00~20:00 / 매주 월요일,멸치국수 5000원 물만두 5000원,2021-06-15
명가국밥집,음식점,제주시,064-755-5999,제주특별자치도 제주시 번영로 553,06:00~20:00 / 연중무휴,부페 7000원 검은콩국수 6000원 한식 7000원,2021-06-15
넉넉한 밥상,음식점,제주시,,제주특별자치도 제주시 인다5길 12-21,11:00~21:00 / 둘째.넷째 일요일,돼지주물럭 8000원 소불고기 9000원 삼겹살 14000원 오겹살 17000원,2021-06-15
은혜중화요리,음식점,제주시,064-723-0919,제주특별자치도 제주시 인다2길 20,11:00~20:00 / 매주 월요일,짜장면 5000원 셋탕 탕수육 10000원,2021-06-15
추가네,음식점,제주시,064-723-7588,제주특별자치도 제주시 서사로 176,10:00~17:00 / 매주 토요일,추어탕 6000원 통추어탕 7000원,2021-06-15
마라톤식당,음식점,제주시,064-757-1945,제주특별자치도 제주시 서광로 174,07:00~19:00 / 매주 일요일,김치찌개 6000원 된장찌개 6000원 만두국 6000원,2021-06-15
현옥식당,음식점,제주시,064-757-3439,제주특별자치도 제주시 서광로2길 35,07:00~22:00 / 설.추석 연휴,정식 4000원 김치찌개 6000원 된장찌개 6000원 두루치기 7000원,2021-06-15
산내들식당,음식점,제주시,064-702-0885,제주특별자치도 제주시 서광로4길 16,07:00~20:30 / 둘째.넷째 일요일,김치찌개 6000원 순두부 6000원 비빔밥 6000원 육개장 6000원,2021-06-15
감나무집,음식점,제주시,064-722-8292,제주특별자치도 제주시 오남로 12,11:00~22:00 / 설.추석 당일,우거지탕 7000원 된장찌개 7000원 김치찌개 7000원 차돌국밥 7000원 정식 8000원,2021-06-15
무진장오라점,음식점,제주시,064-712-6881,제주특별자치도 제주시 서광로2길 11-9,10:00~20:00 / 매주 월요일,한치물회 7000원 자리물회 7000원 회덮밥 7000원,2021-06-15
태연종합정육식당,음식점,제주시,064-723-0187,제주특별자치도 제주시 서사로 187,11:00~24:00 / 연중무휴,김치찌개 5000원 된장찌개 5000원,2021-06-15
또만나,음식점,제주시,064-712-3478,제주특별자치도 제주시 서광로2길 35,08:00~21:00 / 매주 화요일,소고기 콩나물비빔밥 6000원 순두부찌개 6000원 된장찌개 6000원 김치찌개 6000원 떡만두국 5000원 고기국수 6000원,2021-06-15
돈가,음식점,제주시,064-744-5700,제주특별자치도 제주시 문송길 36,11:00~22:00 / 설.추석 당일,샤브샤브 13000원 점심식사 7000원,2021-06-15
좀녀마을뚝배기,음식점,제주시,064-745-3535,제주특별자치도 제주시 은남길 25,08:00~20:00 / 설.추석 당일,성게국 10000원 순두부 5000원 해물뚝배기 8000원,2021-06-15
다해복국,음식점,제주시,064-749-9868,제주특별자치도 제주시 문송1길 17,11:00~15:00 / 매주 일요일(예약시 휴무관계없음),복해장국 8000원 복지리 8000원,2021-06-15
깜돈흑돼지,음식점,제주시,064-712-9229,제주특별자치도 제주시 삼무로3길 6,15:00~23:00 / 둘째.넷째 일요일,흑돼지오겹살(200g) 17000원 흑돼지목살(200g) 17000원,2021-06-15
재현이네갈비,음식점,제주시,064-711-5323,제주특별자치도 제주시 선덕로 7,16:00~22:00 /첫째.셋째 일요일,갈비 10000원 등갈비 11000원,2021-06-15
장군닭,음식점,제주시,064-744-2216,제주특별자치도 제주시 신광로6길 2,14:00~02:00 / 매주 일요일,후라이드치킨 16000원 양념치킨 17000원,2021-06-15
황궁쟁반 탐라원,음식점,제주시,064-749-6644,제주특별자치도 제주시 원노형6길 7,11:00~20:00 / 매주 일요일,짜장면 2500 짬뽕 3500 탕수육 7000원,2021-06-15
승범이네집,음식점,제주시,064-744-3538,제주특별자치도 제주시 월랑로 56-1,10:00~23:00 / 설.추석 당일,생선지리 8000원 어내장탕 8000원 회덮밥 8000원 매운탕 8000원 초밥 8000원,2021-06-15
길벗식당,음식점,제주시,064-744-0848,제주특별자치도 제주시 월광로 162,10:00~22:00일요일 16:00~22:00 / 연중무휴,오리구이(1마리) 45000원 오리주물럭(1마리) 45000원 오겹살(200g) 12000원 몸국(정식) 7000원,2021-06-15
푸른바다회포차,음식점,제주시,,제주특별자치도 제주시 수덕7길 47,17:30~24:00 / 연중무휴,광어회 30000원 돈까스 5000원,2021-06-15
금순이네,음식점,제주시,064-711-1114,제주특별자치도 제주시 정존1길 31,17:00~23:30※단체 영업시간 무관 / 설.추석 연휴 봉사기간(7.25~8.10),흑돼지오겹(180g) 13000원 흑돼지김치찌개 7000원,2021-06-15
내도바당,음식점,제주시,064-743-8339,제주특별자치도 제주시 내도중길 9-7,11:00~22:00 / 매주 일요일,매운탕 8000원 활아나고매운탕 10000원 돔지리 10000원 활한치물회 12000원 활한치회덮밥 12000원 자리물회 10000원,2021-06-15
이오리,음식점,제주시,064-751-4905,제주특별자치도 제주시 도리로 53,10:00~21:30 / 설.추석 연휴,정식 7000원 오리탕 7000원,2021-06-15
도두해녀의집,음식점,제주시,064-743-1500,제주특별자치도 제주시 도두항길 16,10:0~21:00 / 설.추석 전날과 당일,전복성게물회 10000원 전복물회 10000원 회덮밥 11000원 전복죽 11000원 성게미역국 9000원,2021-06-15
테왁식당,음식점,제주시,064-742-4949,제주특별자치도 제주시 서해안로 155,11:00~23:00 / 설.추석 연휴,전복물회 10000원 자리물회 10000원 성게미역국 8000원 회덮밥 10000원,2021-06-15
요메기섬 현재식당,음식점,제주시,070-7778-3356,제주특별자치도 제주시 도두항길 10,09:00~21:00 / 매주 일요일,정식 6000원 활우럭매운탕 10000원 전복해물뚝배기 12000원,2021-06-15
자매미용실,이미용,제주시,064-752-7583,제주특별자치도 제주시 동문로4길 17,09:00~18:00 / 매주 일요일,파마 20000원 커트 5000원 염색 20000원,2021-06-15
이애란헤어샵,이미용,제주시,064-724-0090,제주특별자치도 제주시 고마로 58,09:30~19:30 / 매주 일요일,커트 7000원 기본파마 25000원,2021-06-15
은가미용실,이미용,제주시,064-723-1216,제주특별자치도 제주시 중앙로 192,10:00~17:00(계절별 변동) / 매주 일요일,커트 7000원 커트(샴푸시) 10000원 파마 20000원,2021-06-15
머리만지는 남자,이미용,제주시,064-723-8501,제주특별자치도 제주시 중앙로 205,10:00~20:00 / 연중무휴,커트 9000원 펌 20000원,2021-06-15
아름다운 사람들,이미용,제주시,064-722-7741,제주특별자치도 제주시 중앙로 69,09:30~20:00 / 연중무휴,일반 펌 30000원 컷트 10000원 매직 50000원~70000원 염색 20000원~50000원,2021-06-15
도남이용원,이미용,제주시,064-752-2882,제주특별자치도 제주시 신성로 55,06:30~19:00 / 매주 일요일,커트 7000원 커트+염색 15000원 커트+앞면도 12000원,2021-06-15
지혜미용실,이미용,제주시,064-757-8525,제주특별자치도 제주시 서사로19길 5,10:00~19:00 / 매주 일요일,컷트 10000원 파마 25000원,2021-06-15
남문이용원,이미용,제주시,064-757-5935,제주특별자치도 제주시 남성로 125,08:00~19:00 / 매주 일요일,이발(학생) 5000원 이발+면도+염색 25000원,2021-06-15
행복한머리방,이미용,제주시,064-758-8799,제주특별자치도 제주시 서광로3길 42,10:00~19:30 / 매주 일요일,컷트(초등90세이상) 3000원 커트(여성) 4000원 컷트(남성) 5000원 펌(일반) 20000원 펌(60세이상) 15000원 매직(단발기준) 30000원,2021-06-15
수앤진미용실,이미용,제주시,064-723-3244,제주특별자치도 제주시 용남길 20,09:00~19:00 / 매주 월요일,컷트 10000원 염색 25000원 파마 25000원,2021-06-15
전원미용실,이미용,제주시,064-751-5682,제주특별자치도 제주시 임항로 261,08:00~19:30 / 매주 월요일,파마 20000원 커트 8000원 셋팅 35000원 드라이 8000원 올림머리 25000원,2021-06-15
정다운미용샵,이미용,제주시,064-784-5667,제주특별자치도 제주시 진남로6길 36-1,09:00~20:00 / 매주 수요일,파마 20000원 컷트(샴푸미포함) 8000원 업스타일 30000원 매직 50000원,2021-06-15
머리하기좋은날,이미용,제주시,064-713-6667,제주특별자치도 제주시 신대로6길 11,10:00~19:00 / 연중무휴,컷트 7000원 염색(커트드라이별도) 25000원 파마 25000원,2021-06-15
라영헤어숍,이미용,제주시,064-744-3340,제주특별자치도 제주시 다랑곶4길 18,09:00~20:00 / 첫째.셋째 일요일,컷트 8000원 컷트(샴푸시) 10000원 염색 20000원~30000원,2021-06-15
바다풍경펜션,숙박업,제주시,064-711-0808,제주특별자치도 제주시 애월읍 애월해안로 923,24시간영업 / 연중무휴,2인실 40000원 6인실 110000원,2021-06-15
시드니호텔,숙박업,제주시,064-713-3399,제주특별자치도 제주시 애월읍 애월해안로 943,24시간영업 / 연중무휴,본관 50000원 작은방 40000원,2021-06-15
예예하우스,숙박업,제주시,070-4404-1474,제주특별자치도 제주시 애월읍 도치돌길 279-1,24시간영업 / 연중무휴,2인실 45000원 4인실 70000원 6인실 120000원,2021-06-15
봉골레하우스,숙박업,제주시,064-744-1551,제주특별자치도 제주시 추자면 추자로 94-1,24시간영업 / 연중무휴,숙박(1인실) 30000원 숙박(식사포함)40000원,2021-06-15
너븐팡게스트하우스,숙박업,제주시,,제주특별자치도 제주시 신광로 102-1,07:30~20:30 /연중무휴,도미토리 25000원 독립실 50000원,2021-06-15
진영세탁소,세탁업,제주시,064-724-1629,제주특별자치도 제주시 오복4길 9,07:30~20:00 / 매주 일요일,양복 상의 4000원 양복 하의 4000원,2021-06-15
동광회센타,음식점,제주시,064-757-2981,제주특별자치도 제주시 연삼로 544,15:00~24:00 / 연중무휴,모듬회(小) 35000원 모듬회(中) 50000원 도듬회(大) 65000원,2021-06-15
사계오름,음식점,제주시,064-724-1162,제주특별자치도 제주시 복지로3길 2-9,11:30~14:00 / 매주 토.일요일,정식 6000원 순두부찌개 5000원,2021-06-15
동문통해장국,음식점,제주시,064-721-3692,제주특별자치도 제주시 동문로11길 5,10:00~14:0017:00~22:00 / 설.추석명절 당일,소고기해장국 7000원 황태해장국 7000원,2021-06-15
블랙데이,음식점,제주시,064-758-3286,제주특별자치도 제주시 만덕로 23-2,11:00~19:30※BREAK TIME 14:30~17:00(7~8월) 10:30~15:00 / 매주 월요일. 명절 전날 및 당일,자장면 3000원 짬뽕 5000원 볶음밥 5000원 탕수육(1인) 5000원 탕수육(대) 13000원,2021-06-15
하귀밀면,음식점,제주시,064-792-1101,제주특별자치도 제주시 산지로 25,10:00~15:00 / 매주 일요일,밀면 6000원 비빔밀면 6000원,2021-06-15
조약돌,음식점,제주시,064-757-7884,제주특별자치도 제주시 임항로 255,08:00~22:00 / 설.추석명절 당일,갈비정식 8000원 파불고기 8000원,2021-06-15
오솔길,음식점,제주시,064-758-3663,제주특별자치도 제주시 임항로 264,(평일) 11:00~14:00. 17:00~22:30. (토일) 17:00~22:30 / 설.추석명절 당일,흑돼지오겹살(200g) 13000원 흑돼지목살(200g) 13000원 백돼지오겹살(200g) 10000원 항정살(200g) 11000원 가브리살(200g) 11000원,2021-06-15
삼양백년짜장,음식점,제주시,064-753-4578,제주특별자치도 제주시 설촌로12길 36,10:30~20:00 (※BREAK TIME 15:00~15:30) / 매주 토요일. 설/추석명절 당일,자장면 4000원 짬뽕 5500원,2021-06-15
마마칼국수,음식점,제주시,064-743-3398,제주특별자치도 제주시 한라대학로 87,10:30~22:00 / 매주 금요일. 명절연휴,칼국수 5000원 냉칼국수 5000원 닭칼국수 6000원 한치냉칼국수 8000원,2021-06-15
바다사랑채,음식점,제주시,064-748-9785,제주특별자치도 제주시 테우해안로 132,09:00~21:30 / 매주 화요일. 명절연휴,생돼지김치찌개 5000원 고등어구이 6000원 보말미역국 6000원 고등어조림 8000원 갈치구이 8000원,2021-06-15
해바라기,음식점,서귀포시,064-764-9909,제주특별자치도 서귀포시 남원읍 한신로 280,10:30~22:00 / 둘째. 넷째 목요일,보리밥(겨울철 김치찌개) 6000원 순대국밥 6000원,2021-06-15
고성장터국밥,음식점,서귀포시,064-783-3233,제주특별자치도 서귀포시 성산읍 고성동서로45번길 19,07:00 ~ 18:00 / 설 . 추석 당일,국밥 6000원 몸국 7000원,2021-06-15
백년손님,음식점,서귀포시,064-783-3456,제주특별자치도 서귀포시 성산읍 금백조로 114,07:00~21:00 / 둘째. 넷째 목요일,국밥 6000원 고기국수 6000원 멸치국수 5000원,2021-06-15
새당골식당,음식점,서귀포시,064-794-2251,제주특별자치도 서귀포시 안덕면 덕수서로 40,11:00~21:00브레이크타임 14:30~17:00 / 둘째. 넷째 일요일,정식 7000원 갈치조림(중) 35000원,2021-06-15
명경식당,음식점,서귀포시,064-794-9557,제주특별자치도 서귀포시 안덕면 화순로 88,10:00~19:00(하절기)10:00~20:00(동절기)11:00~19:00 / 연중무휴(사전 문의바람),짜장면 5000원 짬뽕 6000원,2021-06-15
생원전복,음식점,서귀포시,064-792-2109,제주특별자치도 서귀포시 안덕면 산방로 7,10:00~21:00브레이크타임 15:00~17:00 / 연중무휴,돈샤브샤브 10000원 전복죽 10000원,2021-06-15
한아름식당,음식점,서귀포시,064-787-5403,제주특별자치도 서귀포시 표선면 세성로 265,11:00~20:00브레이크타임 14:00~17:00 / 연중무휴,돼지고기(생고기) 10000원,2021-06-15
새서울두루치기,음식점,서귀포시,064-732-4211,제주특별자치도 서귀포시 태평로 406,10:00 ~ 22:00 / 설 . 추석 당일,흑돼지두루치기 6000원 낙지두루치기 6000원,2021-06-15
한동네,음식점,서귀포시,064-732-4573,제주특별자치도 서귀포시 동부로 4,11:00 ~ 23:00 / 둘째. 넷째 월요일,성게보말국 12000원 열무국수 6000원,2021-06-15
삼이사,음식점,서귀포시,064-732-0324,제주특별자치도 서귀포시 명동로 6,11:00 ~ 15:00 / 연중무휴,행복밥상정식 7000원 몸국 7000원,2021-06-15
뽕뽕식당,음식점,서귀포시,064-733-6639,제주특별자치도 서귀포시 중앙로42번길 32,11:00 ~ 20:00 / 매주 일요일,멸치국수 4000원 비빔국수 5000원,2021-06-15
바당국수,음식점,서귀포시,064-733-9259,제주특별자치도 서귀포시 동문동로 21-1,09:00 ~ 24:00 / 둘째. 넷째 화요일,멸치국수 5000원 비빔국수 6000원,2021-06-15
뽈살집 본관,음식점,서귀포시,064-763-6860,제주특별자치도 서귀포시 중정로 91번길 37,16:00 ~ 01:00 / 연중무휴,뽈살 9500 청국장 3000원,2021-06-15
옛날어전,음식점,서귀포시,064-733-2333,제주특별자치도 서귀포시 동문동로 31,11:00~22:30(토.일)17:00~22:30 / 연중무휴,참치초밥 8000원 참치회덮밥 8000원,2021-06-15
뽈살집별관,음식점,서귀포시,064-763-6860,제주특별자치도 서귀포시 중정로91번길 39-1,16:00 ~ 01:00 / 연중무휴,돼지고기 뽈살(180g) 9500 가브리살(180g) 10000원,2021-06-15
신영식당,음식점,서귀포시,064-763-3022,제주특별자치도 서귀포시 중앙로71번길 4,11:00 ~ 23:00 / 연중무휴,된장찌개 6000원 순두부 6000원,2021-06-15
대광장식당,음식점,서귀포시,064-762-9233,제주특별자치도 서귀포시 중앙로 79,06:00 ~ 21:00 / 매주 일요일,김치찌개 5000원 비빔밥 5000원,2021-06-15
성광식당,음식점,서귀포시,064-767-4110,제주특별자치도 서귀포시 일주동로 8184,11:00 ~ 19:00 / 매주 일요일,순대국 5000원 내장탕 5000원 순두부 5000원 김치찌개 6000원,2021-06-15
도새기1982식당,음식점,서귀포시,064-732-1982,제주특별자치도 서귀포시 일주동로 8580,11:00 ~ 02:00 / 연중무휴,대패삼겹살 8000원 오겹살 10000원,2021-06-15
영춘반점,음식점,서귀포시,,제주특별자치도 서귀포시 중앙로 154,10:30 ~ 20:00화요일 10:30~15:00 / 매주 토요일,짜장면 3500원 짬뽕 6500원,2021-06-15
김대감숯불갈비,음식점,서귀포시,064-763-2707,제주특별자치도 서귀포시 동홍중앙로 67,10:30 ~ 22:30 / 연중무휴,양념갈비(500g) 12000원 생갈비(400g) 14000원 삼겹살(200g) 12000원,2021-06-15
맛있는집,음식점,서귀포시,064-763-3760,제주특별자치도 서귀포시 중앙로 110,09:00~20:00브레이크타임 14:30~17:00※ 토요일 09:00~14:00 / 매주 일요일,비빔밥 6000원 순두부 7000원,2021-06-15
낙지마당,음식점,서귀포시,064-738-1524,제주특별자치도 서귀포시 신중로 73,10:00 ~ 22:00브레이크타임 14:30~17:00 / 둘째.넷째 일요일,낙지덮밥 8000원 낙지돌솥비빔밥 8000원,2021-06-15
둠비정원,음식점,서귀포시,064-739-7787,제주특별자치도 서귀포시 신중로13번길 20,10:00 ~ 21:00 / 매주 일요일,비지탕 6000원 순두부 7000원,2021-06-15
